id;courseid;type;name
28328;351;videofile;4.9. Рисование 3D графиков функций в matplotlib. Часть 2 (ВИДЕО)
19454;351;folder;4.10. Конспекты лекций
18855;351;label; САМОКОНТРОЛЬ
19525;351;quiz;4.11. Работа с массивами NumPy (ТЕСТ)
19527;351;quiz;4.12. Работа с файлами и построение графиков (ТЕСТ)
18742;351;label; ПРАКТИКУМ
19484;351;vpl;4.13. Реализуем Max pooling изображения
18657;351;vpl;4.14. Кластеризация методом K-means - массивы.
19443;351;vpl;4.15. Добиваем двухпалубный корабль противника
19465;351;vpl;4.16. Выбираем ход в морском бое
18572;351;label;Пояснение
18644;351;label; ОПИСАНИЕ КЕЙСА: Восстанов...
18852;351;label; ПЛАН ДЕЙСТВИЙ: &nbs...
18645;351;label;     NOTEBOOK:...
20703;351;label; КЕЙС 1а 
18668;351;vpl;РЕШЕНИЕ КЕЙСА 1: Восстановление алгебраической модели фрактала.
18694;351;label; NOTEBOOK:Восстановл...
26182;351;label; КЕЙС 1б (альтернативный)
20704;351;vpl;Морское сражение ботов на поле 4x4
19541;351;label; Дополнительные материалы
19526;351;page;Полезные ссылки
18576;351;label;Пояснение
18577;351;label;Пояснение
20718;351;videofile;2.1.1. Машинные вычисления. Источники погрешностей (ВИДЕО)
20719;351;videofile;2.1.2. Измерение погрешности. Виды погрешностей (ВИДЕО)
20720;351;videofile;2.1.3 Точность решения задачи. Оценка погрешностей (ВИДЕО)
20721;351;videofile;2.1.4. Прямой и обратный анализ ошибок (ВИДЕО)
20732;351;folder;2.1.5. Материалы лекций
18991;351;label; САМОКОНТРОЛЬ
20728;351;quiz;2.1.6. Погрешности машинных вычислений (ТЕСТ)
18990;351;label; ПРАКТИКУМ
20748;351;vpl;2.1.7. Найти оптимальный шаг вычисления производной функции
20722;351;videofile;2.2.1. Формат с плавающей запятой (ВИДЕО)
20723;351;videofile;2.2.2. Машинный ноль и машинная бесконечность (ВИДЕО)
20724;351;videofile;2.2.3. Машинная точность (ВИДЕО)
20725;351;videofile;2.2.4. Точность арифметических операций (ВИДЕО)
20740;351;folder;2.2.5. Материалы лекций
18993;351;label; САМОКОНТРОЛЬ
20742;351;quiz;2.2.6. Формат с плавающей запятой (ТЕСТ)
18992;351;label; ПРАКТИКУМ
21102;351;vpl;2.2.7. Оценить точность вычисления производной функции на отрезке
22973;351;videofile;2.3.1. Постановка задачи (ВИДЕО)
22974;351;videofile;2.3.2. Обусловленность задачи (ВИДЕО)
22975;351;videofile;2.3.3. Оценка обусловленности задачи (ВИДЕО)
22977;351;videofile;2.3.4. Метод дихотомии и метод хорд (ВИДЕО)
22978;351;videofile;2.3.5. Метод простой итерации. Сходимость метода (ВИДЕО)
22979;351;videofile;2.3.6. Метод Ньютона и модифицированный метод хорд (ВИДЕО)
22980;351;videofile;2.3.7. Определение порядка и скорости сходимости итерационных методов (ВИДЕО)
22981;351;videofile;2.3.8. Графический анализ порядка и скорости сходимости в matplotlib (ВИДЕО)
21406;351;folder;2.3.9. Материалы лекций
18997;351;label; САМОКОНТРОЛЬ
21408;351;quiz;2.3.10. Решение уравнений (ТЕСТ)
18996;351;label; ПРАКТИКУМ
21400;351;folder;2.3.11. Модель, примеры и визуализация расчетов ПИ-регулятора круиз-контроля
21397;351;vpl;2.3.12. Расчет ПИ-регулятора круиз-контроля
21452;351;vpl;2.3.13 Выбор параметров управления и оценка скорости сходимости
23465;351;videofile;2.4.1. Постановка задачи (ВИДЕО)
23467;351;videofile;2.4.2. Нормы векторов и матриц (ВИДЕО)
23466;351;videofile;2.4.3. Обусловленность задачи (ВИДЕО)
23468;351;videofile;2.4.4. Решение СЛАУ. Метод Якоби. (ВИДЕО)
23714;351;videofile;2.4.5. Сходимость метода простой итерации при решении СЛАУ (ВИДЕО)
23707;351;videofile;2.4.6. Метод Зейделя и метод релаксации (ВИДЕО)
23715;351;videofile;2.4.7. Решение системы нелинейных уравнений. Метод Ньютона. (ВИДЕО)
23716;351;videofile;2.4.8. Оценка порядка и скорости сходимости методов (ВИДЕО)
21715;351;folder;2.4.9. Материалы лекций
18995;351;label; САМОКОНТРОЛЬ
23136;351;quiz;2.4.10. Решение систем уравнений (ТЕСТ)
18994;351;label; ПРАКТИКУМ
23463;351;vpl;2.4.11. Применяем м.Якоби для решения СЛАУ
23464;351;vpl;2.4.12. Применяем м.Зейделя для решения СЛАУ
26473;351;label;Пояснение
23710;351;page;2.5.1. Кейс "Моделирование движения управляемого робота"
21714;351;folder;2.5.2. Пример расчета траектории робота
23709;351;vpl;2.5.3. Программируем управление мобильным роботом (ВПЛ)
26183;351;label;Пояснение
23848;351;label;Пояснение
24775;351;videofile;3.0.1. Модели данных (ВИДЕО)
24779;351;videofile;3.0.2. Критерии точности решения задачи аппроксимации (ВИДЕО)
24780;351;videofile;3.0.3. Полиномиальная аппроксимация. Постановка задачи (ВИДЕО)
24774;351;folder;3.0.4. Материалы лекций
24782;351;label; САМОКОНТРОЛЬ
24781;351;quiz;3.0.5. Постановки задач аппроксимации функций (ТЕСТ)
24783;351;videofile;3.1.1. Интерполяционные полиномы Лагранжа и Ньютона (ВИДЕО)
24784;351;videofile;3.1.2. Оценка точности интерполяции функции на отрезке (ВИДЕО)
24785;351;videofile;3.1.3. Сплайн-интерполяция (ВИДЕО)
24787;351;folder;3.1.4. Материалы лекций
19001;351;label; САМОКОНТРОЛЬ
24786;351;quiz;3.1.5. Одномерная интерполяция (ТЕСТ)
24788;351;videofile;3.2.1. Постановка задачи моделирования поверхностей в 3D (ВИДЕО)
24791;351;videofile;3.2.2. Моделирование поверхностей в 3D полиномами Лагранжа (ВИДЕО)
24792;351;videofile;3.2.3. Пример моделирования поверхностей в 3D (ВИДЕО)
24789;351;folder;3.2.4. Материалы лекций
24776;351;label; САМОКОНТРОЛЬ
24790;351;quiz;3.2.5. Интерполяция поверхностей (ТЕСТ)
18998;351;label; ПРАКТИКУМ
24916;351;page;3.3.1. Кейс раздела
24917;351;folder;3.3.2. Пример решения кейса
24793;351;vpl;3.3.3. Кейс "Моделирование поверхности"
26474;351;label;Пояснение
24919;351;videofile;4.1.1. Постановка задачи построения линейной регрессии (ВИДЕО)
24920;351;videofile;4.1.2. Нормальная система уравнений (ВИДЕО)
24921;351;videofile;4.1.3. Гребневая регрессия. L2 - регуляризация (ВИДЕО)
24922;351;videofile;4.1.4. Метод LASSO. L1 - регуляризация (ВИДЕО)
24924;351;videofile;4.1.5. Пример прогноза итогового балла на курсе (ВИДЕО)
24923;351;videofile;4.1.6. Выбор структуры модели. Метрики качества (ВИДЕО)
24926;351;folder;4.1.6. Материалы лекций
24778;351;label; САМОКОНТРОЛЬ
24925;351;quiz;4.1.7. Линейный регрессионный анализ (ТЕСТ)
24777;351;label; ПРАКТИКУМ
23912;351;vpl;4.1.8 Прогноз итоговой суммы баллов на онлайн-курсе
26184;351;label;Пояснение
24927;351;videofile;4.2.1. Постановка задачи классификации (ВИДЕО)
24932;351;videofile;4.2.2. Логистическая регрессия как классификатор объектов (ВИДЕО)
24933;351;videofile;4.2.3. Пример классификации обучающихся на онлайн-курсе (ВИДЕО)
24938;351;folder;4.2.4. Материалы лекций
24935;351;label; ПРАКТИКУМ
24936;351;quiz;4.2.5. Логистическая регрессия (ТЕСТ)
24934;351;label; САМОКОНТРОЛЬ
23920;351;vpl;4.2.6 Классификация слушателей онлайн-курса
23849;351;quiz;ИТОГОВЫЙ ТЕСТ ПО РАЗДЕЛУ - РЕШЕНИЕ СИСТЕМ УРАВНЕНИЙ
26718;351;quiz;ИТОГОВЫЙ ТЕСТ ПО РАЗДЕЛАМ - ИНТЕРПОЛЯЦИЯ И Лин.РЕГРЕССИЯ
19000;351;label; ПРАКТИКУМ
23913;351;resource;Данные для задания 4.1.1
23928;351;resource;Данные для задания 4.2.1
19612;351;page;Визуализация и pandas
351;351;course;Программирование в Python и методы вычислений
