course_branch_id;course_item_id;course_lesson_id;course_branch_item_order;course_item_type_id;course_branch_item_name;course_branch_item_optional
"393";"25142";"5699";10;3;"online acad";f
"393";"25205";"5702";0;1;"5.1. Общие принципы работы нейросетей (ВИДЕО)";f
"393";"25207";"5702";1;1;"5.2. Модель нейрона (ВИДЕО)";f
"393";"25208";"5702";2;1;"5.3. Нейронная линейная регрессия (ВИДЕО)";f
"393";"25213";"5702";3;1;"5.4. Нейронная линейная классификация (ВИДЕО)";f
"393";"25250";"5702";4;1;"5.5. Нейронная логистическая регрессия (ВИДЕО)";f
"393";"25209";"5702";5;1;"5.6. Моделирование булевых операций (ВИДЕО)";f
"393";"25445";"5702";6;7;"5. Материалы лекций";f
"393";"25652";"5702";7;7;"Полезные ссылки для изучения теории (ТЕКСТ)";f
"393";"25158";"5702";8;7;"  САМОКОНТРОЛЬ  ";f
"393";"25215";"5702";9;6;"5. Основы нейросетевых вычислений (ТЕСТ)";t
"393";"25140";"5702";10;7;"  ПРАКТИКУМ  ";f
"393";"25653";"5702";11;7;"5. Практика модуля курса и библиотеки для работы с данными (ТЕКСТ)";f
"393";"25251";"5702";12;10;"5. Моделирование нейрона (VPL)";t
"393";"25210";"5700";0;1;"6.1. Проблема XOR. Реализация XOR нейросетью (ВИДЕО)";f
"393";"25211";"5700";1;1;"6.2. Мульти-классификация с помощью двухслойной нейросети (ВИДЕО)";f
"393";"25217";"5700";2;1;"6.3. Модель многослойных классифицирующих нейросетей (ВИДЕО)";f
"393";"25221";"5700";3;1;"6.4. Обучение нейрона. Правило Хебба (ВИДЕО)";f
"393";"25222";"5700";4;1;"6.5. Визуализация обучения нейрона по правилу Хебба (ВИДЕО)";f
"393";"25225";"5700";5;1;"6.6. Обучение нейрона с использованием градиентного спуска (ВИДЕО)";f
"393";"25446";"5700";6;7;"6. Материалы лекций";f
"393";"25160";"5700";7;7;"  САМОКОНТРОЛЬ  ";f
"393";"25223";"5700";8;6;"6. Моделирование многослойных сетей и обучение нейрона (ТЕСТ)";t
"393";"25159";"5700";9;7;"  ПРАКТИКУМ  ";f
"393";"25252";"5700";10;10;"6.1. Моделирование XOR-nnet (VPL)";t
"393";"25253";"5700";11;10;"6.2. Обучение нейрона (VPL)";t
"393";"25224";"5701";0;1;"7.1. Обратное распространение ошибки. Часть 1 (ВИДЕО)";f
"393";"25710";"5701";1;1;"7.2. Алгоритм обратного распространения ошибки. Часть 2 (ВИДЕО)";f
"393";"25227";"5701";2;1;"7.3. Реализация алгоритма обучения нейросети (ВИДЕО)";f
"393";"25711";"5701";3;1;"7.4. Пример обучения нейросети, реализующей XOR (ВИДЕО)";f
"393";"25228";"5701";4;1;"7.5. Стохастический градиентный спуск (ВИДЕО)";f
"393";"25230";"5701";5;1;"7.6. Регуляризация (ВИДЕО)";f
"393";"25740";"5701";6;1;"7.7. Выбор параметров нейросети и параметров обучения. (ВИДЕО)";f
"393";"25712";"5701";7;7;"7. Материалы лекций";f
"393";"25162";"5701";8;7;"  САМОКОНТРОЛЬ  ";f
"393";"25226";"5701";9;6;"7. Обучение многослойных сетей (ТЕСТ)";t
"393";"25161";"5701";10;7;"  ПРАКТИКУМ  ";f
"393";"25254";"5701";11;10;"7. Обучить классифицирующую нейросеть типа XOR-net (VPL)";t
"393";"25231";"5703";0;1;"8.1. Библиотека tensorflow. Основные решаемые задачи. (ВИДЕО)";f
"393";"25233";"5703";1;1;"8.2. Основы работы с tensorflow.keras. tf.keras.layers (ВИДЕО)";f
"393";"25791";"5703";2;1;"8.3. Основы работы с tensorflow.keras. tf.keras.Model (ВИДЕО)";f
"393";"25235";"5703";3;1;"8.4. Пример классификации изображений с использованием DNN (ВИДЕО)";f
"393";"25741";"5703";4;1;"8.5. Борьба с переобучением. Dropout. (ВИДЕО)";f
"393";"25234";"5703";5;1;"8.6. Борьба с затуханием градиента. ReLU (ВИДЕО)";f
"393";"25757";"5703";6;1;"8.7. Batch-нормализация (ВИДЕО)";f
"393";"25232";"5703";7;1;"8.8. Методы оптимизации/обучения нейросетей. (ВИДЕО)";f
"393";"25742";"5703";8;7;"8. Материалы лекций";f
"393";"25164";"5703";9;7;"  САМОКОНТРОЛЬ  ";f
"393";"25237";"5703";10;6;"8. Решение задач классификации: обучение полносвязных сетей (ТЕСТ)";t
"393";"25163";"5703";11;7;"  ПРАКТИКУМ  ";f
"393";"25255";"5703";12;10;"8. Обучение многослойных полносвязных сетей (VPL)";t
"393";"25239";"7808";0;1;"9.1. Проблематика распознавания изображений (ВИДЕО)";f
"393";"25242";"7808";1;1;"9.2. Сверточные и подвыборочные слои. (ВИДЕО)";f
"393";"25241";"7808";2;1;"9.3. Пример обучения сверточной сети - MNIST (ВИДЕО)";f
"393";"25243";"7808";3;1;"9.4. Анализ работы сверточной сети (ВИДЕО)";f
"393";"25244";"7808";4;1;"9.5. Задача посложнее. Тюнинг CNN (ВИДЕО)";f
"393";"25797";"7808";5;1;"9.6. Кейс по распознаванию изображений рукописных букв (ВИДЕО)";f
"393";"25790";"7808";6;7;"9. Материалы лекций";f
"393";"25166";"7808";7;7;"  САМОКОНТРОЛЬ  ";f
"393";"25238";"7808";8;6;"9. Классификация изображений: обучение сверточных сетей (ТЕСТ)";t
"393";"25165";"7808";9;7;"  ПРАКТИКУМ  ";f
"393";"25256";"7808";10;10;"9. Обучение сверточной нейросети (VPL)";t
"393";"25245";"5704";0;1;"10.1. Автоэнкодинговые сети (ВИДЕО)";f
"393";"25246";"5704";1;1;"10.2. Пример анализа изображений (ВИДЕО)";f
"393";"25247";"5704";2;1;"10.3. Использованием автоэнкодера для предобучения (ВИДЕО)";f
"393";"25799";"5704";3;1;"10.4. Фильтрация шумов с помошью AE (ВИДЕО)";f
"393";"25248";"5704";4;1;"10.5. Пример анализа факторов результатов обучения на онлайн-курсе (ВИДЕО)";f
"393";"25843";"5704";5;7;"10. Материалы лекций";f
"393";"25168";"5704";6;7;"  САМОКОНТРОЛЬ  ";f
"393";"25240";"5704";7;6;"10. Нейросетевой факторный анализ (ТЕСТ)";t
"393";"25167";"5704";8;7;"  ПРАКТИКУМ  ";f
"393";"25257";"5704";9;10;"10. Нейросетевой фильтр изображений (VPL)";t
"393";"26698";"7809";0;7;"Поздравляем, вы смогли добраться до финального зад...";f
"393";"26701";"7809";1;7;"ХАКАТОН (экз.задание)";f
"393";"26692";"7809";2;7;"ПОЛЕЗНЫЕ ССЫЛКИ (углубленное чтение)";f
"393";"26723";"7809";3;7;"Сертификат о завершении курса";t
